5M10W78877;TP Keyb. X1 Extreme G2;Thinkpad Keyboard P1 G2 /X1 Extreme G2 - FR;2;47;BULK;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;FR;n/a;5M10W78877;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M10W78877;0;n/a;n/a; 
5M10W78879;TP Keyb. X1 Extreme G2;Thinkpad Keyboard P1 G2 /X1 Extreme G2 - DE;1;47;BULK;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;DE;n/a;5M10W78879;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M10W78879;0;n/a;n/a; 
01HX110;TP Keyb. X380 Yoga ;Thinkpad Keyboard X380 Yoga - ES BL (Silver);1;47;BULK;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;ES;n/a;01HX110;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/01HX110;0;n/a;n/a; 
918018-A41;x360 1030 G2 elitebook;HP x360 1030 G2 Keyb. (BE);3;47;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;BE;n/a;918018-A41;5707271563856;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/918018-A41;0;n/a;n/a; 
918018-B71;x360 1030 G2 elitebook;HP x360 1030 G2 Keyb. (SE);1;61;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;SWE;n/a;918018-B71;5707271563863;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/918018-B71;0;n/a;n/a; 
929985-B71;x360 1030 G2 elitebook;HP x360 1030 G2 Keyb. (SWE);7;61;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;SWE;n/a;929985-B71;5707271563924;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/929985-B71;0;n/a;n/a; 
M15921-171;Zbook Create/Studio G7 Topcover Keyboard;Zbook Create/Studio G7  - AR BL ;1;67;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;AR;n/a;M15921-171;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/M15921-171;0;n/a;n/a; 
M15921-FL1;Zbook Create/Studio G7 Topcover Keyboard;Zbook Create/Studio G7  - GC CZ/SLK BL ;1;67;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;CZ/SK;n/a;M15921-FL1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/M15921-FL1;0;n/a;n/a; 
M14635-BB1;Zbook Firefly 14 G7 Keyboard;Zbook Firefly 14 G7/G8  - Topcover HE - BL;6;114;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;HE;n/a;M14635-BB1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/M14635-BB1;0;n/a;n/a; 
M07494-041;Zbook Firefly 15 G7 Keyboard;Zbook Firefly 15 G7  - Topcover DE - BL;14;114;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;DE;n/a;M07494-041;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/M07494-041;0;n/a;n/a; 
M07494-131;Zbook Firefly 15 G7 Keyboard;Zbook Firefly 15 G7  - Topcover PT - BL;1;114;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;PT;n/a;M07494-131;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/M07494-131;0;n/a;n/a; 
M07494-151;Zbook Firefly 15 G7 Keyboard;Zbook Firefly 15 G7  - Topcover GR - BL;6;114;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;GR;n/a;M07494-151;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/M07494-151;0;n/a;n/a; 
M07494-211;Zbook Firefly 15 G7 Keyboard;Zbook Firefly 15 G7  - Topcover HU -BL;3;114;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;HU;n/a;M07494-211;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/M07494-211;0;n/a;n/a; 
M07494-BA1;Zbook Firefly 15 G7 Keyboard;Zbook Firefly 15 G7/G8  - Topcover SI - BL;5;114;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;SI;n/a;M07494-BA1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/M07494-BA1;0;n/a;n/a; 
M07494-DDD;Zbook Firefly 15 G7 Keyboard;Zbook Firefly 15 G7  - Topcover MIEA - BL;4;114;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;n/a;n/a;M07494-DDD;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/M07494-DDD;0;n/a;n/a; 
M35847-131;Zbook Firefly 15 G7 Keyboard;Zbook Firefly 15 G7  - Topcover PT- BL;3;114;BULK;HP;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;PT;n/a;M35847-131;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/M35847-131;0;n/a;n/a; 
4X30M86883-08;n/a;Lenovo Preferred Pro II USB Keyboard - BE/UK;1;3;REF.;LENOVO;KEYBOARD;n/a;n/a;n/a;BE;n/a;4X30M86883;0191200574917;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/4X30M86883-08;0;n/a;n/a; 
T6T83AAR#B13;n/a;HP Slim USB Keyboard and Mouse GB;6;24;GOLD;HP;KEYBOARD;1YR CCR;1 Year Carry-in Warranty;n/a;GB;n/a;T6T83AAR#B13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/T6T83AAR%23B13;0;n/a;n/a; 
12BLMAT6UK;n/a;ThinkCentre TIO Flex 22i - 21.5" FHD Monitor;27;101;NEW;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;12BLMAT6UK;0196380129827;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/12BLMAT6UK;0;n/a;n/a; 
12BMMAT1EU;n/a;ThinkCentre TIO Flex 24i, 24'' Monitor;50;148;NEW;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;12BMMAT1EU;5707271575750;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/12BMMAT1EU;0;n/a;n/a; 
62CAUAT1WL;n/a; ThinkVision M15 FHD/IPS/2xUSB-C 15" Monitor;50;166;NEW;LENOVO;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;62CAUAT1WL;0195713404303;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/62CAUAT1WL;0;n/a;n/a; 
62CBRAT6EU;n/a;ThinkVision P27u-20 - 27" 4K UHD Monitor - HDMI;1;535;NEW;LENOVO;MONITOR;1Y CCR;USE 1YR CCR;n/a;n/a;n/a;62CBRAT6EU;0195713542999;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/62CBRAT6EU;0;n/a;n/a; 
62CEGAT3UK;n/a;E29w-20 - 29" 2560x1080 Monitor - HDMI;50;128;NEW;LENOVO;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;62CEGAT3UK;0195713831635;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/62CEGAT3UK;0;n/a;n/a; 
63A2GAT1EU;n/a;ThinkVision P27q-30 - 27" QHD Monitor - HDMI, DP;50;295;NEW;LENOVO;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;63A2GAT1EU;0196379715482;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/63A2GAT1EU;0;n/a;n/a; 
63A3GAT1EU;n/a;ThinkVision T27h-30 QHD/IPS/USB-C 27" Monitor;33;266;NEW;LENOVO;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;63A3GAT1EU;5707271572179;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/63A3GAT1EU;0;n/a;n/a; 
63A4MAT1EU;n/a;ThinkVision T27i-30 IPS FHD 1920x1080 27" Monitor;50;175;NEW;LENOVO;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;63A4MAT1EU;0196379785737;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/63A4MAT1EU;0;n/a;n/a; 
63B2MAT6EU;n/a;ThinkVision T23i-30 - 23" FHD Monitor - HDMI, DP;37;118;NEW;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;63B2MAT6EU;0196380370113;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/63B2MAT6EU;0;n/a;n/a; 
63D3GAT1EU;n/a;ThinkVision T32h-30 QHD/HDMI/ 32", USB-C Dock;50;345;NEW;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;63D3GAT1EU;0196801200739;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/63D3GAT1EU;0;n/a;n/a; 
63D6UAT3EU;n/a;ThinkVision T27hv-30 - 27" QHD HDMI, DP, USB;50;297;NEW;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;63D6UAT3EU;0196801781870;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/63D6UAT3EU;0;n/a;n/a; 
63F2RAT3EU;n/a;ThinkVision P34w-20 34" Curved WQHD USB-C dock;50;490;NEW;LENOVO;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;63F2RAT3EU;0197532306721;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/63F2RAT3EU;0;n/a;n/a; 
63AAUAR6WL;n/a;ThinkVision M14d/WQHD/2 x USB-C 14''Monitor;6;265;NEW;LENOVO;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;63AAUAR6WL;0196380023064;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/63AAUAR6WL;0;n/a;n/a; 
64W41AA#ABB;n/a;HP P27h G5 - FHD/LED/ HDMI (HDCP)/VGA-Monitor -27";19;142;NEW;HP;MONITOR;3Y CCR;3 year custom carry in;n/a;n/a;n/a;64W41AA#ABB;0196548133536;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/64W41AA%23ABB;0;n/a;n/a; 
64X69AA#ABB;n/a;HP P27 G5-P-Series-FHD-DP-IPS-HDMI-VGA 27''Monitor;50;113;NEW;HP;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;64X69AA#ABB;0196548137923;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/64X69AA%23ABB;0;n/a;n/a; 
B279TDXSP1EU;n/a;Fujitsu Monitor B27-9 TS FHD 27"/HDMI/VGA/DP;31;120;NEW;FUJITSU;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;B279TDXSP1EU;5707271581706;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/B279TDXSP1EU;0;n/a;n/a; 
DELL-P2423DE;n/a;Dell P2423DE - QHD/IPS/HDMI/USB-C 24" Monitor;13;217;NEW;DELL;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;DELL-P2423DE;0884116417897;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/DELL-P2423DE;0;n/a;n/a; 
DELL-P2424HT;n/a;Dell P2424HT FHD/Touch/USB-C - 24" Monitor  ;50;257;NEW;DELL;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;DELL-P2424HT;5397184821367;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/DELL-P2424HT;0;n/a;n/a; 
DELL-P2725HE;n/a;Dell P2725HE - 27" Monitor - USB-C-Hub /HDMI/IPS;18;193;NEW;DELL;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;DELL-P2725HE;5397184821763;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/DELL-P2725HE;0;n/a;n/a; 
LS24A400UJUXEN;n/a;Samsung S24A400UJU-S4U Series FHD 24" Monitor;50;127;NEW;SAMSUNG;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;LS24A400UJUXEN;5707271578737;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/LS24A400UJUXEN;0;n/a;n/a; 
S26361-K1692-V160;n/a;Fujitsu Monitor B27-9 TS FHD 27"/HDMI/VGA/DP;50;114;NEW;FUJITSU;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;S26361-K1692-V160;4059595827604;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/S26361-K1692-V160;0;n/a;n/a; 
ZA690008SE;n/a;ThinkSmart View QS-624/2GB/8GB/8"/MT/C/AOSP 8.1;50;68;NEW;LENOVO;MONITOR;1YR CCR;1 Year Carry-in Warranty;n/a;n/a;n/a;ZA690008SE;0194778100762;n/a;1280x800;8";8 GB ;n/a;2 GB;n/a;n/a;QS-624;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/ZA690008SE;0;n/a;n/a; 
678U8AA#ABB;2xnoise canceling Microphones;HP M27m Conferencing FHD/WebCam/USB-C 27'' Monitor;50;169;NEW;HP;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;678U8AA#ABB;0196548350476;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/678U8AA%23ABB;0;n/a;n/a; 
DELL-P2723D;DELL-P2723D;Dell P2723D 27" QHD/IPS/USB Monitor;50;209;NEW;DELL;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;DELL-P2723D;5397184656785;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/DELL-P2723D;0;n/a;n/a; 
ARM-0301;DMS-01D;Deltaco 3 Monitor VESA Desk Mount / Stand, 13-27;5;55;NEW;DIV;MONITOR;1YM;1 Year Manufacturer Warranty;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/ARM-0301;0;n/a;n/a; 
6N6E9AA#ABB;HP E24 G5 ;HP E24 G5 - E-Series 23,8" Monitor LED/FHD/DP/IPS;50;114;NEW;HP;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;6N6E9AA#ABB;5707271574036;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/6N6E9AA%23ABB;0;n/a;n/a; 
169L0AA#ABB;HP Monitor;HP E24mv G4 FHD Conferencing Monitor, IPS - 24 '';50;151;NEW;HP;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;169L0AA#ABB;5707271581720;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/169L0AA%23ABB;0;n/a;n/a; 
6N4D6AA#ABB;HP Monitor;HP E32K G5-E-Series 4K UHD/IPS/USB-C  32" Monitor;31;391;NEW;HP;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;6N4D6AA#ABB;5707271572186;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/6N4D6AA%23ABB;0;n/a;n/a; 
9VF99AA#ABB;HP Monitor;HP E24 G4 - E-Series 23,8" Monitor  LED/FHD ;32;118;NEW;HP;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;9VF99AA#ABB;0194850079801;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/9VF99AA%23ABB;0;n/a;n/a; 
9VG82AA#ABB;HP Monitor;HP E27q G4 - E-Series 27" LED Monitor - QHD;50;174;NEW;HP;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;9VG82AA#ABB;0194850083655;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/9VG82AA%23ABB;0;n/a;n/a; 
9VJ40AA#ABB;HP Monitor;HP E24i G4 - E-Series 24" LED Monitor - WUXGA;50;128;NEW;HP;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;9VJ40AA#ABB;0194850096761;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/9VJ40AA%23ABB;0;n/a;n/a; 
61F1GAT2UK;Monitor;ThinkVision T32h-20 QHD/HDMI/ 32", USB-C Dock;24;295;NEW;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;61F1GAT2UK;0194552079581;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/61F1GAT2UK;0;n/a;n/a; 
12BKMAT1EU;MONITOR;ThinkCentre TIO Flex 27i -IPS/FHD 27";18;228;NEW;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;12BKMAT1EU;0196379716168;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/12BKMAT1EU;0;n/a;n/a; 
12BKMAT1UK;MONITOR;ThinkCentre TIO Flex 27i -IPS/FHD 27";28;179;NEW;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;12BKMAT1UK;0196379716175;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/12BKMAT1UK;0;n/a;n/a; 
12NAGAT1EU;MONITOR;ThinkCentre TIO24 G5 24ËFHD/Cam/M/DP;50;172;NEW;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;12NAGAT1EU;0196804349824;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/12NAGAT1EU;0;n/a;n/a; 
12NBGAT1EU;MONITOR;ThinkCentre TIO24 G5 24ËFHD, Touch, Cam, M, DP;50;218;NEW;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;n/a;n/a;n/a;12NBGAT1EU;0196804766782;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/12NBGAT1EU;0;n/a;n/a; 
62C6KAT1UK;MONITOR;ThinkVision S22E-20 21.5 16:9 FHD/HDMI/VGA;1;68;NEW;LENOVO;MONITOR;1YR CCR;1 Year Carry-in Warranty;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/62C6KAT1UK;0;n/a;n/a; 
63CFMATXEU;T24i-30;ThinkVision T24i-30 23.8" FHD/IPS Monitor;50;118;NEW;LENOVO;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;63CFMATXEU;0195892063223;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/63CFMATXEU;0;n/a;n/a;Fjernlager Ukendt
11GEPAT1UK-02;n/a;ThinkCentre TIO24 G4, 24Ë FHD, IR-Cam;2;181;BULK;LENOVO;MONITOR;1YR CCR;1 Year Carry-in Warranty;n/a;n/a;n/a;11GEPAT1UK;5707271582055;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/11GEPAT1UK-02;0;n/a;n/a; 
11GSPAT1EU-02;n/a;ThinkCentre TIO22 - 21.5" FHD Monitor - DP;1;155;BULK;LENOVO;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;11GSPAT1EU;0194632566024;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/11GSPAT1EU-02;0;n/a;n/a; 
12BMMAT1CH-02;n/a;ThinkCentre TIO Flex 24i, 24'' Monitor;1;133;BULK;LENOVO;MONITOR;1YR CCR;1 Year Carry-in Warranty;n/a;n/a;n/a;12BMMAT1CH;5707271582185;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/12BMMAT1CH-02;0;n/a;n/a; 
12BMMAT1EU-02;n/a;ThinkCentre TIO Flex 24i, 24'' Monitor;4;133;BULK;LENOVO;MONITOR;3YM;3 Years Manufacturer Warranty;ALL;ALL;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/12BMMAT1EU-02;0;n/a;n/a; 
12N8GAT1EU-02;n/a;Lenovo ThinkVision TiO 22 (21,5") 1920x1080 DP;3;132;BULK;LENOVO;MONITOR;1YR CCR;1 Year Carry-in Warranty;n/a;n/a;n/a;12N8GAT1EU;0196804375465;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/12N8GAT1EU-02;0;n/a;n/a; 
1FH49AA#ABB-02;n/a;HP EliteDisplay E243i 24" Monitor, Silver;1;181;BULK;HP;MONITOR;3YR CCR;3 Years Carry-in Warranty;n/a;n/a;n/a;n/a;5707271582345;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/1FH49AA%23ABB-02;0;n/a;n/a; 
4XF0L72016-02;n/a;ThinkCentre Tiny In One Dual Monitor Stand;1;101;BULK;LENOVO;MONITOR;1YR CCR;1 Year Carry-in Warranty;n/a;n/a;n/a;4XF0L72016;0889488346653;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/4XF0L72016-02;0;n/a;n/a; 
4Z11K07878-02;n/a;Kensington 21,5" W9 Display Privacy Filter;11;43;BULK;LENOVO;MONITOR;1YR CCR;1 Year Carry-in Warranty;n/a;n/a;n/a;4Z11K07878;0195892063100;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/4Z11K07878-02;0;n/a;n/a; 
4Z11K07880-02;n/a;Kensington 27-inch W9 Monitor Privacy Filter by Le;1;41;BULK;LENOVO;MONITOR;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/4Z11K07880-02;0;n/a;n/a; 
61C3MAR6EU-02;n/a;ThinkVision T23d - 23" LED-Monitor - FHD;1;128;BULK;LENOVO;MONITOR;1YR CCR;1 Year Carry-in Warranty;n/a;n/a;n/a;61C3MAR6EU;5707271575729;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/61C3MAR6EU-02;0;n/a;n/a; 
61C3MAR6UK-02;n/a;ThinkVision T23d - 23" LED-Monitor - FHD;1;128;BULK;LENOVO;MONITOR;1YR CCR;1 Year Carry-in Warranty;n/a;n/a;n/a;61C3MAR6UK;0192330486538;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/61C3MAR6UK-02;0;n/a;n/a; 
61DDUAT6EU-02;n/a;ThinkVision M14  portable - 1920 x 1080 FHD;1;161;BULK;LENOVO;MONITOR;1YR CCR;1 Year Carry-in Warranty;n/a;n/a;n/a;61DDUAT6EU;0193386077527;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/61DDUAT6EU-02;0;n/a;n/a; 
